Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"QCL","Cultures et produits animaux","729","Soudan","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2021","2021","tonnes","79814.97","I","Valeur imputée",""
"QCL","Cultures et produits animaux","729","Soudan","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2021","2021","1000 têtes","32017","I","Valeur imputée",""
"QCL","Cultures et produits animaux","729","Soudan","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","85484.66","I","Valeur imputée",""
"QCL","Cultures et produits animaux","729","Soudan","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","33674","E","Valeur estimée",""
"QCL","Cultures et produits animaux","728","Soudan du Sud","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","31335.39","I","Valeur imputée",""
"QCL","Cultures et produits animaux","728","Soudan du Sud","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 têtes","27783","I","Valeur imputée",""
"QCL","Cultures et produits animaux","728","Soudan du Sud","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2018","2018","tonnes","22064","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","728","Soudan du Sud","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2018","2018","1000 têtes","20000","E","Valeur estimée",""
"QCL","Cultures et produits animaux","728","Soudan du Sud","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2019","2019","tonnes","87168","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","728","Soudan du Sud","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2019","2019","1000 têtes","50000","E","Valeur estimée",""
"QCL","Cultures et produits animaux","728","Soudan du Sud","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","34867","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","728","Soudan du Sud","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","1000 têtes","30000","E","Valeur estimée",""
"QCL","Cultures et produits animaux","728","Soudan du Sud","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2021","2021","tonnes","49274.75","E","Valeur estimée",""
"QCL","Cultures et produits animaux","728","Soudan du Sud","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2021","2021","1000 têtes","36875","E","Valeur estimée",""
"QCL","Cultures et produits animaux","728","Soudan du Sud","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","52058.64","E","Valeur estimée",""
"QCL","Cultures et produits animaux","728","Soudan du Sud","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","38958","E","Valeur estimée",""
"QCL","Cultures et produits animaux","144","Sri Lanka","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","200980","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","144","Sri Lanka","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 têtes","154000","E","Valeur estimée",""
"QCL","Cultures et produits animaux","144","Sri Lanka","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2018","2018","tonnes","214200","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","144","Sri Lanka","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2018","2018","1000 têtes","150125","I","Valeur imputée",""
"QCL","Cultures et produits animaux","144","Sri Lanka","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2019","2019","tonnes","224010","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","144","Sri Lanka","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2019","2019","1000 têtes","152304","I","Valeur imputée",""
"QCL","Cultures et produits animaux","144","Sri Lanka","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","216160","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","144","Sri Lanka","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","1000 têtes","181156","I","Valeur imputée",""
"QCL","Cultures et produits animaux","144","Sri Lanka","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2021","2021","tonnes","236790","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","144","Sri Lanka","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2021","2021","1000 têtes","183373","I","Valeur imputée",""
"QCL","Cultures et produits animaux","144","Sri Lanka","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","228130","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","144","Sri Lanka","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","173573","I","Valeur imputée",""
"QCL","Cultures et produits animaux","752","Suède","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","152500","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","752","Suède","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 têtes","103407","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","752","Suède","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2018","2018","tonnes","146280","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","752","Suède","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2018","2018","1000 têtes","98503","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","752","Suède","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2019","2019","tonnes","153620","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","752","Suède","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2019","2019","1000 têtes","103451","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","752","Suède","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","166830","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","752","Suède","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","1000 têtes","107186","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","752","Suède","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2021","2021","tonnes","179690","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","752","Suède","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2021","2021","1000 têtes","112403","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","752","Suède","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","167170","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","752","Suède","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","109581","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","756","Suisse","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","90103","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","756","Suisse","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 têtes","72267","I","Valeur imputée",""
"QCL","Cultures et produits animaux","756","Suisse","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2018","2018","tonnes","98900","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","756","Suisse","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2018","2018","1000 têtes","73864","I","Valeur imputée",""
"QCL","Cultures et produits animaux","756","Suisse","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2019","2019","tonnes","98219","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","756","Suisse","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2019","2019","1000 têtes","76440","I","Valeur imputée",""
"QCL","Cultures et produits animaux","756","Suisse","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","103487","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","756","Suisse","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","1000 têtes","81046","I","Valeur imputée",""
"QCL","Cultures et produits animaux","756","Suisse","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2021","2021","tonnes","107315","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","756","Suisse","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2021","2021","1000 têtes","82689","I","Valeur imputée",""
"QCL","Cultures et produits animaux","756","Suisse","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","109515","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","756","Suisse","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","87016","I","Valeur imputée",""
